plot_id,basal_area,aerial_biomass_total,trunk_bark_biomass,leaf_biomass,trunk_wood_biomass,branch_wo_leaves_biomass,basal_area_dec_dominant,density_dec_dominant,aerial_carbon_total,trunk_bark_carbon,accumulated_aerial_co2,dbh,density,basal_area_species_dominant,density_species_dominant,basal_area_genus_dominant,density_genus_dominant,over_bark_volume,coords_longitude,coords_latitude,admin_region,admin_municipality,topo_altitude_asl,clim_prec_year,clim_tmin_year
P_02542,31.17,123.45,14.14,8.09,58.71,42.51,Esclerofil·le,Esclerofil·le,58.99,6.64,216.31,11.9,2801.13,Quercus ilex,Quercus ilex,Quercus,Quercus,85.38,2.46,41.75,Vallès Oriental,Fogars de Montclús,933.32,941,6.2
P_02556,22.02,77.73,8.11,5.97,33.09,30.55,Esclerofil·le,Esclerofil·le,37.19,3.81,136.36,11.39,2160.97,Quercus ilex,Quercus ilex,Quercus,Quercus,48.15,2.33,41.74,Vallès Oriental,Tagamanent,790.26,852.5,6.7
P_02560,3.47,13.08,2.18,0.74,7.41,2.75,Conífera,Esclerofil·le,6.62,1.14,24.28,30.62,47.11,Pinus pinaster,Quercus ilex,Pinus,Quercus,17.87,2.35,41.74,Vallès Oriental,Cànoves i Samalús,840.09,898.3,6.2
P_02564,14.81,61.63,7.22,3.21,32.57,18.64,Esclerofil·le,Esclerofil·le,29.7,3.49,108.9,12.95,1124.69,Quercus ilex,Quercus ilex,Quercus,Quercus,51.27,2.43,41.74,Vallès Oriental,Fogars de Montclús,547.58,830.2,7.5
P_02576,25.56,136.27,18.4,4.46,81.22,32.19,Esclerofil·le,Esclerofil·le,66.42,8.94,243.56,14.83,1479.08,Quercus ilex,Quercus ilex,Quercus,Quercus,138.75,2.27,41.73,Vallès Oriental,Figaró-Montmany,365.83,722.5,7.8
P_02581,27.63,136.11,14.98,5.91,75.96,39.26,Esclerofil·le,Esclerofil·le,64.9,7.03,237.98,16.31,1322.75,Quercus ilex,Quercus ilex,Quercus,Quercus,105.56,2.33,41.73,Vallès Oriental,Tagamanent,926.83,902,6.1
P_02582,23.93,101.74,12.22,6.32,49.94,33.26,Esclerofil·le,Esclerofil·le,48.58,5.73,178.14,12.04,2100.85,Quercus ilex,Quercus ilex,Quercus,Quercus,72.63,2.34,41.73,Vallès Oriental,Tagamanent,574.43,806.7,7.2
P_02586,13.78,58.89,5.97,2.92,30.42,19.58,Esclerofil·le,Esclerofil·le,28.11,2.8,103.07,17.08,601.25,Quercus ilex,Quercus ilex,Quercus,Quercus,42.24,2.36,41.73,Vallès Oriental,Sant Pere de Vilamajor,901.9,921.2,6.1
P_02591,35.28,129.53,17.89,6.9,66.95,37.78,Conífera,Esclerofil·le,64.84,9.33,237.75,16.3,1690.58,Pinus pinea,Quercus ilex,Pinus,Quercus,138.33,2.41,41.73,Vallès Oriental,Sant Esteve de Palautordera,555.36,827.3,7.6
P_02592,38.82,162.13,21.51,5.61,93.73,41.28,Esclerofil·le,Esclerofil·le,78.59,11.06,288.17,17.79,1561.27,Quercus suber,Quercus ilex,Quercus,Quercus,159.76,2.42,41.73,Vallès Oriental,Sant Esteve de Palautordera,308.77,786,8.2
P_02594,36.22,125.4,20.86,3.73,70.6,30.21,Esclerofil·le,Esclerofil·le,61.96,11.72,227.18,18.08,1411.17,Quercus suber,Quercus suber,Quercus,Quercus,150.77,2.46,41.73,Vallès Oriental,Campins,373.65,814.6,8.1
P_02603,4.34,14.19,2.3,0.88,6.24,4.76,Conífera,Esclerofil·le,6.99,1.14,25.63,11.18,442.1,Pinus halepensis,Quercus ilex,Pinus,Quercus,12.78,2.27,41.72,Vallès Oriental,Figaró-Montmany,443.38,736.4,7.7
P_02608,19.18,92.84,10.25,4.06,51.28,27.25,Esclerofil·le,Esclerofil·le,44.27,4.81,162.34,17.18,827.61,Quercus ilex,Quercus ilex,Quercus,Quercus,71.45,2.31,41.72,Vallès Oriental,Figaró-Montmany,892.47,881.8,6.3
P_02613,16.1,61.1,7.76,2.99,31.4,18.95,Conífera,Esclerofil·le,30.73,4.04,112.66,21.89,427.95,Pinus pinea,Quercus ilex,Pinus,Quercus,64.62,2.41,41.72,Vallès Oriental,Sant Esteve de Palautordera,391.48,809.7,8.1
P_02614,7.71,41.85,5.19,1.08,24.03,11.54,Conífera,Conífera,21,2.71,77.02,30.25,107.24,Pinus halepensis,Pinus halepensis,Pinus,Pinus,48.22,2.43,41.72,Vallès Oriental,Sant Esteve de Palautordera,316.27,815.2,8.2
P_02625,16.76,70.58,9.39,4.61,33.7,22.88,Esclerofil·le,Esclerofil·le,34.05,4.48,124.84,10.05,2111.03,Quercus ilex,Quercus ilex,Quercus,Quercus,55.23,2.29,41.71,Vallès Oriental,la Garriga,427.91,738.3,7.8
P_02628,16.67,60.95,6.46,3.89,27.58,23.02,Esclerofil·le,Esclerofil·le,29.63,3.14,108.66,13.96,1088.9,Quercus ilex,Quercus ilex,Quercus,Quercus,45.33,2.31,41.71,Vallès Oriental,Cànoves i Samalús,814.58,872.9,6.4
P_02631,26.48,108.48,12.22,6.85,53.08,36.34,Esclerofil·le,Esclerofil·le,52.18,5.82,191.33,12.22,2258.02,Quercus ilex,Quercus ilex,Quercus,Quercus,80.57,2.35,41.71,Vallès Oriental,Cànoves i Samalús,507.06,788.5,7.6
P_02635,33.38,190.4,23.55,5.96,115.33,45.56,Esclerofil·le,Esclerofil·le,92.52,11.54,339.24,17.24,1429.99,Quercus ilex,Quercus ilex,Quercus,Quercus,188.95,2.41,41.71,Vallès Oriental,Sant Esteve de Palautordera,320.52,814.4,8.2
P_02637,29.83,156.49,19.21,5.19,95.9,36.19,Esclerofil·le,Esclerofil·le,75.51,9.56,276.89,17.51,1239,Quercus ilex,Quercus ilex,Quercus,Quercus,150.65,2.46,41.71,Vallès Oriental,Fogars de Montclús,265.22,822.6,8.4
P_02642,0.61,2.26,0.44,0.22,0.78,0.82,Esclerofil·le,Esclerofil·le,1.08,0.21,3.96,7.8,127.32,Quercus ilex,Quercus ilex,Quercus,Quercus,1.48,2.18,41.7,Vallès Oriental,Sant Feliu de Codines,563.33,748.7,7.2
P_02648,16.4,73.35,8.6,4.25,37.65,22.86,Esclerofil·le,Esclerofil·le,35.01,4.04,128.39,12.15,1414.71,Quercus ilex,Quercus ilex,Quercus,Quercus,53.92,2.25,41.7,Vallès Oriental,Figaró-Montmany,492.42,752.3,7.5
